index,ninety_percentile,geoid
780,49.0,17117
781,84.0,48141
782,51.0,39167
783,70.0,21111
784,60.0,21093
785,58.0,35049
786,68.0,06059
787,62.0,04023
788,64.0,18067
789,60.0,21047
790,81.0,06025
791,54.0,26027
792,46.0,28081
793,63.0,05035
794,56.0,36067
795,56.0,30075
796,29.0,04001
797,58.0,26101
798,124.0,48233
799,63.0,06101
800,62.0,17143
801,58.0,31177
802,84.0,42003
803,50.0,39097
804,60.0,17019
805,53.0,26113
806,48.0,48423
807,74.0,40143
808,3.0,48395
809,61.0,26125
810,31.0,53025
811,49.0,12001
812,47.0,51147
813,77.0,49007
814,67.0,42017
815,58.0,42081
816,23.0,16057
817,54.0,39025
818,54.0,39121
819,67.0,42075
820,50.0,34031
821,54.0,29157
822,64.0,27053
823,64.0,42027
824,20.0,12089
825,54.0,21185
826,74.0,38065
827,21.0,53001
828,52.0,50007
829,26.0,15009
830,54.0,22057
831,58.0,19139
832,51.0,12113
833,47.0,13055
834,71.0,38025
835,42.0,06005
836,87.0,35001
837,84.0,15001
838,64.0,24043
839,51.0,51680
840,20.0,54053
841,44.0,54021
842,71.0,26005
843,48.0,18145
844,67.0,39049
845,63.0,49021
846,55.0,12009
847,59.0,18105
848,58.0,48043
849,52.0,53011
850,45.0,12077
851,50.0,23009
852,50.0,23013
853,58.0,22063
854,54.0,25009
855,115.0,08035
856,60.0,45079
857,64.0,18095
858,57.0,54009
859,48.0,30111
860,42.0,06033
861,71.0,49037
862,49.0,22121
863,74.0,56039
864,59.0,55043
865,51.0,37021
866,177.0,06063
867,47.0,46093
868,81.0,18097
869,62.0,13021
870,48.0,48183
871,49.0,36087
872,51.0,51800
873,100.0,08041
874,51.0,29049
875,24.0,16029
876,58.0,37157
877,58.0,51059
878,54.0,47001
879,58.0,10001
880,54.0,39173
881,64.0,08051
882,47.0,37117
883,33.0,30081
884,47.0,06081
885,83.0,39035
886,53.0,41059
887,34.0,53035
888,67.0,17111
889,23.0,53075
890,64.0,39165
891,58.0,34019
892,41.0,41031
893,63.0,46127
894,45.0,01051
895,50.0,39083
896,49.0,19017
897,48.0,12061
898,46.0,08077
899,53.0,42115
900,71.0,42125
901,49.0,20103
902,71.0,26121
903,57.0,28049
904,52.0,51107
905,44.0,30071
906,33.0,53045
907,75.0,30063
908,58.0,54069
909,51.0,51165
910,59.0,18183
911,40.0,22071
912,74.0,01073
913,61.0,28033
914,55.0,47113
915,50.0,39089
916,55.0,05139
917,57.0,01101
918,112.0,08005
919,39.0,53057
920,71.0,55021
921,7.0,37019
922,54.0,31079
923,44.0,28075
924,64.0,13153
925,46.0,06087
926,45.0,29137
927,74.0,56035
928,58.0,45091
929,45.0,22005
930,51.0,51041
931,62.0,54039
932,67.0,39153
933,45.0,13127
934,67.0,48479
935,54.0,37123
936,49.0,23003
937,52.0,47045
938,56.0,53053
939,74.0,42071
940,54.0,01055
941,55.0,47119
942,71.0,55133
943,58.0,25021
944,47.0,18063
945,80.0,49045
946,50.0,51650
947,56.0,51069
948,20.0,22089
949,51.0,16027
950,55.0,12073
951,51.0,51033
952,54.0,06021
953,71.0,29510
954,33.0,53067
955,67.0,31107
956,51.0,35061
957,69.0,48061
958,56.0,48339
959,54.0,36071
960,54.0,25023
961,72.0,36005
962,64.0,39103
963,74.0,42005
964,51.0,34001
965,64.0,55071
966,61.0,55029
967,33.0,39053
968,74.0,06079
969,58.0,21019
970,55.0,45025
971,52.0,41067
972,48.0,51810
973,47.0,33001
974,30.0,53021
975,61.0,20173
976,64.0,48453
977,61.0,12057
978,66.0,34021
979,62.0,42129
980,58.0,44003
981,54.0,25011
982,175.0,29143
983,9.0,40047
984,58.0,26091
985,87.0,48227
986,58.89,31039
987,38.81,53069
988,67.65,35011
989,54.49,31129
990,52.3,72085
991,62.13,48327
992,132.71,06091
993,52.1,21053
994,48.71,48189
995,66.1,48011
996,48.02,13189
997,56.98,05137
998,45.81,28061
999,58.38,29083
1000,44.43,08109
1001,54.0,37037
1002,73.08,49033
1003,51.77,51121
1004,85.8,35035
1005,57.55,35003
1006,47.87,01091
1007,56.12,29011
1008,46.17,48057
1009,49.78,51735
1010,48.15,54075
1011,62.78,48077
1012,48.41,51095
1013,47.3,31101
1014,53.82,31137
1015,50.9,22111
1016,34.51,42053
1017,61.97,26109
1018,69.71,18073
1019,40.79,13025
1020,52.37,13171
1021,60.07,18151
1022,57.54,21003
1023,52.28,37001
1024,61.71,20073
1025,49.4,16051
1026,25.89,48177
1027,59.38,47115
1028,52.06,26007
1029,55.74,21231
1030,49.02,47185
1031,48.57,48147
1032,54.85,20043
1033,62.34,48265
1034,49.51,12053
1035,48.91,12131
1036,46.04,28017
1037,37.94,02130
1038,52.91,26035
1039,58.68,20157
1040,52.33,72115
1041,52.28,78030
1042,54.07,31181
1043,54.59,17067
1044,65.9,46067
1045,52.08,50011
1046,54.38,26103
1047,45.75,17025
1048,51.16,29103
1049,56.85,29117
1050,62.47,31043
1051,52.32,26089
1052,46.59,51181
1053,48.09,48391
1054,60.94,13273
1055,50.15,18115
1056,55.49,08115
1057,47.94,30065
1058,65.98,46101
1059,33.4,54079
1060,51.83,34037
1061,48.32,20039
1062,46.2,28145
1063,65.65,31015
1064,73.76,38099
1065,71.48,32013
1066,68.19,48247
1067,38.1,08017
1068,55.24,13193
1069,58.32,18007
1070,48.63,47129
1071,65.58,46043
1072,52.85,24047
1073,55.27,18069
1074,59.29,21209
1075,58.12,19053
1076,66.69,18099
1077,46.21,31171
1078,71.76,38085
1079,59.49,48127
1080,62.33,27045
1081,58.22,45023
1082,63.57,27073
1083,60.74,55093
1084,33.24,13049
1085,58.58,13233
1086,53.36,20147
1087,65.74,31089
1088,61.11,29101
1089,46.02,22021
1090,65.57,17005
1091,50.19,17009
1092,69.38,27085
1093,63.7,55033
1094,29.0,08027
1095,45.28,29123
1096,83.58,48353
1097,56.56,42127
1098,66.63,40095
1099,52.98,24001
1100,64.04,54103
1101,41.5,41007
1102,55.66,36003
1103,59.31,19031
1104,54.15,18117
1105,51.9,13227
1106,34.42,30015
1107,47.6,31017
1108,54.95,47013
1109,51.87,37069
1110,63.08,20111
1111,58.15,19027
1112,50.77,22107
1113,53.13,47123
1114,36.13,20075
1115,60.97,19151
1116,56.82,16045
1117,56.05,05063
1118,69.2,05085
1119,69.97,18111
1120,59.39,13119
1121,51.37,12051
1122,58.93,13265
1123,37.97,30059
1124,44.76,28069
1125,52.31,72105
1126,52.46,01019
1127,65.11,48019
1128,57.41,35059
1129,51.8,36111
1130,31.09,20199
1131,51.66,26003
1132,55.74,05049
1133,56.5,37155
1134,64.1,26123
1135,52.92,41049
1136,62.04,27153
1137,53.8,05083
1138,54.16,05091
1139,62.07,08111
1140,60.64,13045
1141,61.86,20161
1142,71.38,48413
1143,53.04,51167
1144,33.39,16065
